epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2468.22,1.49335,2.48996,1.69772,0.31188,0.4283,0.27065,0.11096,1.86038,2.66325,3.24113,0.000472697,0.000472697,0.000472697
2,5103.17,1.55159,1.83487,1.73238,0.27309,0.54223,0.30933,0.13275,2.01388,2.50273,2.87527,0.000855077,0.000855077,0.000855077
3,7589.32,1.57472,1.76289,1.75833,0.19117,0.36312,0.15433,0.06489,2.15423,2.66936,2.7762,0.00114314,0.00114314,0.00114314
4,10019,1.48822,1.66773,1.68342,0.31345,0.52278,0.28879,0.16086,1.48044,2.02261,2.01696,0.00100459,0.00100459,0.00100459
5,12420.5,1.42795,1.541,1.62244,0.36801,0.52346,0.38691,0.24265,1.31223,1.72942,1.85511,0.000863116,0.000863116,0.000863116
6,14821.2,1.37634,1.46505,1.58175,0.26411,0.62738,0.37601,0.21828,1.38026,1.93272,1.88952,0.000721645,0.000721645,0.000721645
7,17230.6,1.30519,1.36045,1.53407,0.4354,0.62035,0.50126,0.3095,1.29009,1.50467,1.82373,0.000580174,0.000580174,0.000580174
8,19694.3,1.26291,1.28679,1.49512,0.52043,0.60694,0.56491,0.37167,1.17302,1.39492,1.65876,0.000438703,0.000438703,0.000438703
9,22185.7,1.21623,1.21157,1.45156,0.5641,0.61435,0.57487,0.36904,1.14958,1.34442,1.66455,0.000297232,0.000297232,0.000297232
10,24712.8,1.17043,1.14269,1.41975,0.55081,0.681,0.6364,0.43493,1.06448,1.26187,1.57689,0.000155761,0.000155761,0.000155761
